93.76%,521.4MiB / 5GiB,2024-03-08 05:45:54
93.97%,522MiB / 5GiB,2024-03-08 05:46:01
95.98%,521.4MiB / 5GiB,2024-03-08 05:46:08
94.42%,521.6MiB / 5GiB,2024-03-08 05:46:15
93.45%,521.4MiB / 5GiB,2024-03-08 05:46:22
96.81%,521.5MiB / 5GiB,2024-03-08 05:46:29
91.36%,521.6MiB / 5GiB,2024-03-08 05:46:36
93.47%,521.5MiB / 5GiB,2024-03-08 05:46:43
93.65%,521.6MiB / 5GiB,2024-03-08 05:46:50
95.00%,521.4MiB / 5GiB,2024-03-08 05:46:57
96.03%,521.5MiB / 5GiB,2024-03-08 05:47:04
94.13%,521.2MiB / 5GiB,2024-03-08 05:47:11
94.21%,521.5MiB / 5GiB,2024-03-08 05:47:18
93.69%,521.5MiB / 5GiB,2024-03-08 05:47:25
95.05%,521.4MiB / 5GiB,2024-03-08 05:47:33
96.17%,521.8MiB / 5GiB,2024-03-08 05:47:40
96.42%,521.8MiB / 5GiB,2024-03-08 05:47:47
93.12%,521.4MiB / 5GiB,2024-03-08 05:47:54
93.62%,521.7MiB / 5GiB,2024-03-08 05:48:01
97.17%,521.5MiB / 5GiB,2024-03-08 05:48:08
96.69%,521.5MiB / 5GiB,2024-03-08 05:48:15
96.58%,521.5MiB / 5GiB,2024-03-08 05:48:22
95.05%,521.5MiB / 5GiB,2024-03-08 05:48:29
68.03%,521.4MiB / 5GiB,2024-03-08 05:48:36
92.81%,521.8MiB / 5GiB,2024-03-08 05:48:43
94.86%,521.4MiB / 5GiB,2024-03-08 05:48:50
93.05%,521.5MiB / 5GiB,2024-03-08 05:48:57
92.22%,521.4MiB / 5GiB,2024-03-08 05:49:04
95.33%,522.3MiB / 5GiB,2024-03-08 05:49:11
95.97%,521.8MiB / 5GiB,2024-03-08 05:49:18
93.56%,521.8MiB / 5GiB,2024-03-08 05:49:25
98.40%,521.6MiB / 5GiB,2024-03-08 05:49:33
94.60%,521.5MiB / 5GiB,2024-03-08 05:49:40
95.76%,521.5MiB / 5GiB,2024-03-08 05:49:47
99.38%,521.3MiB / 5GiB,2024-03-08 05:49:54
97.11%,521.4MiB / 5GiB,2024-03-08 05:50:01
0.03%,172MiB / 5GiB,2024-03-08 05:50:08
0.02%,172MiB / 5GiB,2024-03-08 05:50:15
0.04%,144MiB / 5GiB,2024-03-08 05:50:22
0.10%,144MiB / 5GiB,2024-03-08 05:50:29
0.02%,144MiB / 5GiB,2024-03-08 05:50:36
0.03%,144MiB / 5GiB,2024-03-08 05:50:43
0.09%,144MiB / 5GiB,2024-03-08 05:50:51
0.02%,144MiB / 5GiB,2024-03-08 05:50:58
0.02%,144MiB / 5GiB,2024-03-08 05:51:05
0.02%,144MiB / 5GiB,2024-03-08 05:51:12
0.07%,144MiB / 5GiB,2024-03-08 05:51:19
9.45%,244.3MiB / 5GiB,2024-03-08 05:51:26
100.53%,456.1MiB / 5GiB,2024-03-08 05:51:33
104.00%,494.4MiB / 5GiB,2024-03-08 05:51:41
104.59%,617.6MiB / 5GiB,2024-03-08 05:51:48
99.74%,617.6MiB / 5GiB,2024-03-08 05:51:55
98.58%,671.1MiB / 5GiB,2024-03-08 05:52:02
98.38%,825.5MiB / 5GiB,2024-03-08 05:52:09
100.01%,863.2MiB / 5GiB,2024-03-08 05:52:16
97.20%,898.9MiB / 5GiB,2024-03-08 05:52:23
