ef_construct,m,ef,k,qps,recall,time_span_insert,time_span_search
128, 64, 256, 10, 517.6517051401039, 1.0, 0.3462691307067871, 0.19318008422851562
128, 64, 256, 100, 395.8246078609939, 1.0, 0.3462691307067871, 0.2526371479034424
128, 64, 512, 1, 587.530519536005, 1.0, 0.3047761917114258, 0.17020392417907715
128, 64, 512, 10, 535.1085640508124, 1.0, 0.3047761917114258, 0.18687796592712402
128, 64, 512, 100, 376.2139510185923, 1.0, 0.3047761917114258, 0.2658061981201172
256, 8, 64, 1, 556.402878652207, 1.0, 0.312161922454834, 0.17972588539123535
256, 8, 64, 10, 487.8572591713774, 1.0, 0.312161922454834, 0.20497798919677734
256, 8, 64, 100, 420.8241696498804, 1.0, 0.312161922454834, 0.23762893676757812
256, 8, 128, 1, 538.4540530686704, 1.0, 0.28761816024780273, 0.18571686744689941
256, 8, 128, 10, 564.7897811968528, 1.0, 0.28761816024780273, 0.17705702781677246
256, 8, 128, 100, 459.80192896717597, 1.0, 0.28761816024780273, 0.2174849510192871
256, 8, 256, 1, 557.7628336660075, 1.0, 0.32189297676086426, 0.17928767204284668
256, 8, 256, 10, 523.0972997713953, 1.0, 0.32189297676086426, 0.19116902351379395
256, 8, 256, 100, 476.38130912452823, 1.0, 0.32189297676086426, 0.2099158763885498
256, 8, 512, 1, 590.5166575857024, 1.0, 0.3294098377227783, 0.1693432331085205
256, 8, 512, 10, 572.3543154079605, 1.0, 0.3294098377227783, 0.17471694946289062
256, 8, 512, 100, 456.7271998684582, 1.0, 0.3294098377227783, 0.2189490795135498
256, 16, 64, 1, 549.9399489172449, 1.0, 0.29814815521240234, 0.1818380355834961
256, 16, 64, 10, 568.9151246666648, 1.0, 0.29814815521240234, 0.17577314376831055
256, 16, 64, 100, 318.23295634743, 1.0, 0.29814815521240234, 0.31423521041870117
256, 16, 128, 1, 489.44273619968374, 1.0, 0.2910490036010742, 0.2043139934539795
256, 16, 128, 10, 564.1273807906625, 1.0, 0.2910490036010742, 0.17726492881774902
256, 16, 128, 100, 275.07294413617024, 1.0, 0.2910490036010742, 0.3635399341583252
256, 16, 256, 1, 555.1700266975866, 1.0, 0.30728912353515625, 0.18012499809265137
256, 16, 256, 10, 398.0525877237104, 1.0, 0.30728912353515625, 0.251223087310791
256, 16, 256, 100, 421.724157693696, 1.0, 0.30728912353515625, 0.2371218204498291
256, 16, 512, 1, 372.92414824483177, 1.0, 0.2978088855743408, 0.26815104484558105
256, 16, 512, 10, 508.3807658369615, 1.0, 0.2978088855743408, 0.1967029571533203
256, 16, 512, 100, 439.62824024141116, 1.0, 0.2978088855743408, 0.22746491432189941
256, 32, 64, 1, 573.0518469130675, 1.0, 0.3518052101135254, 0.17450428009033203
256, 32, 64, 10, 594.2859733738375, 1.0, 0.3518052101135254, 0.16826915740966797
256, 32, 64, 100, 432.87640695276684, 1.0, 0.3518052101135254, 0.23101282119750977
256, 32, 128, 1, 515.0524654783906, 1.0, 0.44098401069641113, 0.19415497779846191
256, 32, 128, 10, 596.765973430615, 1.0, 0.44098401069641113, 0.16756987571716309
256, 32, 128, 100, 473.9380105989898, 1.0, 0.44098401069641113, 0.2109980583190918
256, 32, 256, 1, 562.0379837243239, 1.0, 0.2953310012817383, 0.17792391777038574
256, 32, 256, 10, 462.5778075798148, 1.0, 0.2953310012817383, 0.21617984771728516
256, 32, 256, 100, 400.30693700537904, 1.0, 0.2953310012817383, 0.24980831146240234
256, 32, 512, 1, 516.08673664627, 1.0, 0.2944188117980957, 0.19376587867736816
256, 32, 512, 10, 548.2671490998168, 1.0, 0.2944188117980957, 0.18239283561706543
256, 32, 512, 100, 432.4978912873562, 1.0, 0.2944188117980957, 0.2312150001525879
256, 64, 64, 1, 515.0334919416731, 1.0, 0.2959558963775635, 0.19416213035583496
256, 64, 64, 10, 470.9557890576402, 1.0, 0.2959558963775635, 0.21233415603637695
256, 64, 64, 100, 472.64769451637693, 1.0, 0.2959558963775635, 0.21157407760620117
256, 64, 128, 1, 526.5092107327789, 1.0, 0.3189561367034912, 0.18993020057678223
256, 64, 128, 10, 513.2335900131052, 1.0, 0.3189561367034912, 0.19484305381774902
256, 64, 128, 100, 337.09874975486963, 1.0, 0.3189561367034912, 0.2966489791870117
256, 64, 256, 1, 441.10172789129956, 1.0, 0.33163881301879883, 0.22670507431030273
256, 64, 256, 10, 423.8186179704662, 1.0, 0.33163881301879883, 0.23594999313354492
256, 64, 256, 100, 474.47307215449916, 1.0, 0.33163881301879883, 0.21076011657714844
256, 64, 512, 1, 358.58774204414397, 1.0, 0.3300197124481201, 0.2788717746734619
256, 64, 512, 10, 502.6417337366319, 1.0, 0.3300197124481201, 0.19894886016845703
256, 64, 512, 100, 368.632152167073, 1.0, 0.3300197124481201, 0.271273136138916
512, 8, 64, 1, 553.7627125804871, 1.0, 0.3427431583404541, 0.18058276176452637
512, 8, 64, 10, 585.8514693414048, 1.0, 0.3427431583404541, 0.17069172859191895
512, 8, 64, 100, 430.48128506900645, 1.0, 0.3427431583404541, 0.2322981357574463
512, 8, 128, 1, 601.9086324720091, 1.0, 0.6452748775482178, 0.1661381721496582
512, 8, 128, 10, 560.5784472273826, 1.0, 0.6452748775482178, 0.17838716506958008
512, 8, 128, 100, 456.0146296807694, 1.0, 0.6452748775482178, 0.21929121017456055
512, 8, 256, 1, 595.0785435394533, 1.0, 0.3375411033630371, 0.1680450439453125
512, 8, 256, 10, 621.0719748627714, 1.0, 0.3375411033630371, 0.1610119342803955
512, 8, 256, 100, 492.13497648037526, 1.0, 0.3375411033630371, 0.20319628715515137
512, 8, 512, 1, 568.3361856484512, 1.0, 0.29765796661376953, 0.17595219612121582
512, 8, 512, 10, 508.4146588329129, 1.0, 0.29765796661376953, 0.19668984413146973
512, 8, 512, 100, 323.236508127337, 1.0, 0.29765796661376953, 0.3093709945678711
512, 16, 64, 1, 546.7078036426296, 1.0, 0.29558610916137695, 0.18291306495666504
512, 16, 64, 10, 559.2121999152043, 1.0, 0.29558610916137695, 0.17882299423217773
512, 16, 64, 100, 301.86402277706287, 1.0, 0.29558610916137695, 0.33127498626708984
512, 16, 128, 1, 563.1192990652951, 1.0, 0.3002612590789795, 0.1775822639465332
512, 16, 128, 10, 386.0423677021743, 1.0, 0.3002612590789795, 0.25903892517089844
512, 16, 128, 100, 467.9022674993251, 1.0, 0.3002612590789795, 0.21371984481811523
512, 16, 256, 1, 402.82785015582755, 1.0, 0.33105921745300293, 0.2482450008392334
512, 16, 256, 10, 559.5628415300547, 1.0, 0.33105921745300293, 0.1787109375
512, 16, 256, 100, 415.0532484419314, 1.0, 0.33105921745300293, 0.24093294143676758
512, 16, 512, 1, 551.3257015617133, 1.0, 0.36271095275878906, 0.1813809871673584
512, 16, 512, 10, 445.61093356904877, 1.0, 0.36271095275878906, 0.2244110107421875
512, 16, 512, 100, 385.55832962572117, 1.0, 0.36271095275878906, 0.25936412811279297
512, 32, 64, 1, 522.0679062287622, 1.0, 0.30202794075012207, 0.19154596328735352
512, 32, 64, 10, 477.53657261980527, 1.0, 0.30202794075012207, 0.20940804481506348
512, 32, 64, 100, 410.957685400106, 1.0, 0.30202794075012207, 0.24333405494689941
512, 32, 128, 1, 530.0905031703282, 1.0, 0.2998054027557373, 0.18864703178405762
512, 32, 128, 10, 495.79116340536797, 1.0, 0.2998054027557373, 0.20169782638549805
512, 32, 128, 100, 360.99908766977086, 1.0, 0.2998054027557373, 0.2770090103149414
512, 32, 256, 1, 508.89025316486413, 1.0, 0.30014705657958984, 0.19650602340698242
512, 32, 256, 10, 471.7206320643311, 1.0, 0.30014705657958984, 0.2119898796081543
512, 32, 256, 100, 300.089576756978, 1.0, 0.30014705657958984, 0.3332338333129883
512, 32, 512, 1, 539.8748621127734, 1.0, 0.30013203620910645, 0.1852281093597412
512, 32, 512, 10, 323.0495391447741, 1.0, 0.30013203620910645, 0.30955004692077637
512, 32, 512, 100, 426.5503789250164, 1.0, 0.30013203620910645, 0.23443889617919922
512, 64, 64, 1, 360.49179412030134, 1.0, 0.3310678005218506, 0.27739882469177246
512, 64, 64, 10, 540.0848054535084, 1.0, 0.3310678005218506, 0.18515610694885254
512, 64, 64, 100, 343.48205284850786, 1.0, 0.3310678005218506, 0.2911360263824463
512, 64, 128, 1, 594.0216914086952, 1.0, 0.3489830493927002, 0.16834402084350586
512, 64, 128, 10, 568.8665132257981, 1.0, 0.3489830493927002, 0.17578816413879395
512, 64, 128, 100, 498.9097103107671, 1.0, 0.3489830493927002, 0.20043706893920898
512, 64, 256, 1, 590.1577157458256, 1.0, 0.3193950653076172, 0.16944622993469238
512, 64, 256, 10, 582.4823559800798, 1.0, 0.3193950653076172, 0.17167901992797852
512, 64, 256, 100, 441.27529205804126, 1.0, 0.3193950653076172, 0.22661590576171875
512, 64, 512, 1, 601.7609629773101, 1.0, 0.3001420497894287, 0.16617894172668457
512, 64, 512, 10, 602.7173483508383, 1.0, 0.3001420497894287, 0.16591525077819824
512, 64, 512, 100, 380.61042074639244, 1.0, 0.3001420497894287, 0.26273584365844727
