ef_construct,m,ef,k,qps,recall,time_span_insert,time_span_search
64, 8, 64, 1, 211.1428518945131, 1.0, 44.075088024139404, 47.361300230026245
64, 8, 64, 10, 238.42625203606178, 1.0, 44.075088024139404, 41.94169020652771
64, 8, 64, 100, 210.18881425137633, 0.913429, 44.075088024139404, 47.576271057128906
64, 8, 128, 1, 183.62358495973191, 1.0, 44.710119009017944, 54.459235191345215
64, 8, 128, 10, 226.14165003849845, 1.0, 44.710119009017944, 44.22007179260254
64, 8, 128, 100, 205.40944118640832, 0.944172, 44.710119009017944, 48.68325400352478
