ef_construct,m,ef,k,qps,recall,time_span_insert,time_span_search,time_span_points,timestamp
64, 8, 64, 1, 18.637274998254025, 0.0368, 77.51767182350159, 134.13978171348572, 58.851906061172485, 08_03_24_08:25
64, 8, 64, 10, 276.7915310306088, 0.010723860589812333, 77.51767182350159, 9.032068252563477, 58.851906061172485, 08_03_24_08:25
64, 8, 64, 100, 277.73272838868235, 0.032546134985159375, 77.51767182350159, 9.001459836959839, 58.851906061172485, 08_03_24_08:25
64, 8, 512, 1, 17.562603076926603, 0.0524, 77.46929717063904, 142.34791898727417, 59.861831188201904, 08_03_24_08:29
64, 8, 512, 10, 150.45354186447685, 0.04014492753623188, 77.46929717063904, 16.616425037384033, 59.861831188201904, 08_03_24_08:30
64, 8, 512, 100, 140.2455865298026, 0.07768203360620422, 77.46929717063904, 17.825872898101807, 59.861831188201904, 08_03_24_08:30
64, 64, 64, 1, 8.962003125850035, 0.1356, 77.17632269859314, 278.95549297332764, 59.10113596916199, 08_03_24_08:37
64, 64, 64, 10, 150.83411187918173, 0.16775387011975465, 77.17632269859314, 16.57450008392334, 59.10113596916199, 08_03_24_08:37
64, 64, 64, 100, 110.81484540758598, 0.22825482711336767, 77.17632269859314, 22.56015419960022, 59.10113596916199, 08_03_24_08:38
64, 64, 512, 1, 8.324203405176455, 0.2556, 76.36365413665771, 300.3290379047394, 59.78550314903259, 08_03_24_08:45
64, 64, 512, 10, 38.0369611645128, 0.42524287831384816, 76.36365413665771, 65.7255449295044, 59.78550314903259, 08_03_24_08:46
64, 64, 512, 100, 36.411517345297256, 0.4504849364236893, 76.36365413665771, 68.65959405899048, 59.78550314903259, 08_03_24_08:47
512, 8, 64, 1, 2.5835720827698583, 0.2452, 77.59137606620789, 967.6525058746338, 60.0045268535614, 08_03_24_09:06
512, 8, 64, 10, 232.24017452741387, 0.06361154768798082, 77.59137606620789, 10.764718055725098, 60.0045268535614, 08_03_24_09:06
512, 8, 64, 100, 178.82404079068706, 0.09983752133171195, 77.59137606620789, 13.980223178863525, 60.0045268535614, 08_03_24_09:06
512, 8, 512, 1, 2.465030622201736, 0.3448, 76.61937522888184, 1014.1861839294434, 59.42831110954285, 08_03_24_09:25
512, 8, 512, 10, 54.54322370085169, 0.2562601220879532, 76.61937522888184, 45.83520793914795, 59.42831110954285, 08_03_24_09:26
512, 8, 512, 100, 51.749457700302834, 0.2824796084828711, 76.61937522888184, 48.30968499183655, 59.42831110954285, 08_03_24_09:27
512, 64, 64, 1, 1.1574987159053813, 0.6692, 77.6343150138855, 2159.8296098709106, 61.05830502510071, 08_03_24_10:05
512, 64, 64, 10, 6.842507258068904, 0.4852629096911106, 77.6343150138855, 365.3631491661072, 61.05830502510071, 08_03_24_10:11
512, 64, 64, 100, 41.71758166850108, 0.44680079753489216, 77.6343150138855, 59.92677187919617, 61.05830502510071, 08_03_24_10:12
512, 64, 512, 1, 1.1235696993334081, 0.7596, 77.20384001731873, 2225.051104068756, 60.73641300201416, 08_03_24_10:52
512, 64, 512, 10, 5.024213391320312, 0.7625358600347488, 77.20384001731873, 497.59033012390137, 60.73641300201416, 08_03_24_11:00
512, 64, 512, 100, 12.2279273882429, 0.7297656335693654, 77.20384001731873, 204.45002007484436, 60.73641300201416, 08_03_24_11:03
