ef_construct,m,ef,k,qps,recall,time_span_insert,time_span_search,time_span_points,timestamp
64, 8, 64, 1, 10.029890398365403, 0.1456, 74.98871922492981, 249.25496697425842, 71.35161900520325, 08_03_24_05:41
64, 8, 64, 10, 14.888262776838433, 0.1403044628529297, 74.98871922492981, 167.9175090789795, 71.35161900520325, 08_03_24_05:44
64, 8, 64, 100, 7.764630180986061, 0.1613281594088003, 74.98871922492981, 321.97283601760864, 71.35161900520325, 08_03_24_05:50
64, 8, 512, 1, 11.887752357145777, 0.2056, 74.3313639163971, 210.3004777431488, 73.73274207115173, 08_03_24_05:56
64, 8, 512, 10, 19.158682752420773, 0.21165107945109693, 74.3313639163971, 130.4891381263733, 73.73274207115173, 08_03_24_05:58
64, 8, 512, 100, 18.511787096765925, 0.21526938762284345, 74.3313639163971, 135.04908990859985, 73.73274207115173, 08_03_24_06:00
64, 64, 64, 1, 4.975193504583344, 0.46, 73.26718211174011, 502.4930181503296, 75.73232102394104, 08_03_24_06:11
64, 64, 64, 10, 6.237401432949255, 0.44388, 73.26718211174011, 400.8079369068146, 75.73232102394104, 08_03_24_06:18
64, 64, 64, 100, 4.280641139809927, 0.443008, 73.26718211174011, 584.0246632099152, 75.73232102394104, 08_03_24_06:27
64, 64, 512, 1, 5.545491926769941, 0.6484, 72.57245326042175, 450.8166332244873, 75.11411094665527, 08_03_24_06:37
64, 64, 512, 10, 7.197034362473844, 0.6615965003812658, 72.57245326042175, 347.36529994010925, 75.11411094665527, 08_03_24_06:43
64, 64, 512, 100, 6.993664474024636, 0.6342260984143946, 72.57245326042175, 357.46639108657837, 75.11411094665527, 08_03_24_06:49
512, 8, 64, 1, 3.188926772931458, 0.254, 74.28603410720825, 783.9628119468689, 73.46304297447205, 08_03_24_07:05
512, 8, 64, 10, 27.33256612371138, 0.12809426924381145, 74.28603410720825, 91.46598196029663, 73.46304297447205, 08_03_24_07:06
512, 8, 64, 100, 14.765234425766115, 0.14464204525583185, 74.28603410720825, 169.3166480064392, 73.46304297447205, 08_03_24_07:09
512, 8, 512, 1, 3.2471375677783367, 0.4204, 73.09819388389587, 769.9088652133942, 76.0540657043457, 08_03_24_07:24
512, 8, 512, 10, 34.58893810545552, 0.3445988233821505, 73.09819388389587, 72.2774429321289, 76.0540657043457, 08_03_24_07:25
512, 8, 512, 100, 32.16299437595425, 0.3327508429104113, 73.09819388389587, 77.72908115386963, 76.0540657043457, 08_03_24_07:27
512, 64, 64, 1, 2.3176644623152205, 0.7924, 71.96250891685486, 1078.6721031665802, 75.03082776069641, 08_03_24_07:47
512, 64, 64, 10, 60.08521121440784, 0.7226648516635304, 71.96250891685486, 41.60757613182068, 75.03082776069641, 08_03_24_07:48
512, 64, 64, 100, 47.82275254507605, 0.6520361864104731, 71.96250891685486, 52.27637195587158, 75.03082776069641, 08_03_24_07:49
512, 64, 512, 1, 2.1679497283500537, 0.9328, 76.25062227249146, 1153.1632709503174, 76.18989610671997, 08_03_24_08:10
512, 64, 512, 10, 16.664515402139138, 0.9209346991037132, 76.25062227249146, 150.01936388015747, 76.18989610671997, 08_03_24_08:13
512, 64, 512, 100, 15.795293516621419, 0.8995846371777737, 76.25062227249146, 158.2749948501587, 76.18989610671997, 08_03_24_08:16
