experiment_type,m,ef,ef_search,lim,indexing_time,throughput,average_latency,recall
IVF,,,,1,137.58936715126038,2475.850110124253,0.00040390167236328123,0.9964
IVF,,,,10,68.492014169693,2302.2785746184995,0.0004343523025512695,0.99148
IVF,,,,100,66.8912980556488,1551.71076846217,0.0006444499969482422,0.9808
HNSW,8,64,128,10,10.660376071929932,2583.082516176044,0.00038713436126708984,0.97988
HNSW,8,64,128,100,13.198750972747803,1762.0102500058392,0.0005675335884094238,0.9495
HNSW,8,64,512,10,12.689691305160522,2041.444650099164,0.0004898491859436035,0.99472
HNSW,8,64,512,100,17.307219982147217,1347.748895497971,0.0007419779777526856,0.988668
HNSW,8,512,128,1,42.13071894645691,2613.425929387533,0.0003826395034790039,0.9844
HNSW,8,512,128,10,45.212130069732666,2401.3040529059285,0.00041644039154052734,0.98484
HNSW,8,512,128,100,56.395084857940674,1580.4810493934995,0.0006327187538146973,0.950816
HNSW,8,512,512,1,65.55308198928833,1692.0717218587397,0.0005909914970397949,0.9916
HNSW,8,512,512,10,44.301148891448975,1668.7238410490634,0.0005992603302001953,0.99576
HNSW,8,512,512,100,48.23731207847595,1403.926505188662,0.0007122879981994629,0.991056
HNSW,64,64,128,1,16.748836994171143,2315.867634291262,0.00043180360794067385,0.9952
HNSW,64,64,128,10,19.472445011138916,2152.9561939561036,0.00046447763442993164,0.99164
HNSW,64,64,128,100,19.334900856018066,1593.5991956136872,0.0006275103569030762,0.979832
HNSW,64,64,512,1,22.295180797576904,1776.3806440890962,0.0005629424095153809,0.9964
HNSW,64,64,512,10,18.828574895858765,1724.4543118511667,0.0005798935890197754,0.99632
HNSW,64,64,512,100,19.94436812400818,1277.5848780004012,0.0007827268600463867,0.992772
HNSW,64,512,128,1,80.72736287117004,2117.7920008401884,0.00047218990325927735,0.9964
HNSW,64,512,128,10,77.01043200492859,1813.8785818694482,0.0005513048171997071,0.99644
HNSW,64,512,128,100,75.08873701095581,1462.517833822873,0.0006837523460388184,0.991612
HNSW,64,512,512,1,85.11369228363037,1332.805927016592,0.0007502967834472656,0.9952
HNSW,64,512,512,10,95.02316331863403,977.8991231906913,0.0010226003646850587,0.99672
HNSW,64,512,512,100,88.2796151638031,1017.3354592502515,0.0009829599380493164,0.99504
